bangla_speech ,banglish_speech ,mymensingh_bangla_speech ,mymensingh_banglish_speech ,region_name ,english_speech
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,nijer pochonder biyete baba make raji korano holo,নিজের পছন্দের বিয়াতে বাপ মা রে রাজি করান হইল,nijer pochonder biyate bap ma re raji koran hoilo,Mymensingh,The parents were persuaded in the marriage of their choice
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,meyeti lal shari pore dariye ache,ছেড়িডা লাল শাড়ী পইরা খারায়া আসে,cherida lal shari poira kharaya ase,Mymensingh,The girl is standing in a red sari
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,bouyer jonno ar bondhuder majhe mukh dekhanor upay nai,বইয়ের লাইজ্ঞা আর বন্ধুগর মাঝখানে মুখ দেহানুর উপায় নাই,biyer laigga ar bondhugor majhkhane mukh dehanur upay nai,Mymensingh,There is no way for the wife to show her face to her friends
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,amake sobar samne marte marte bashay niye ase,আমারে বেকগের সামনে মারতে মারতে বাসায় নিয়া আইসে,amare bekger samne marte marte basay niya aise,Mymensingh,He beat me in front of everyone and brought me home
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,ami jani ekhane onek meye comment porte ashbe,আমি জানি এইহানে অনেক ছেড়ি কমেন্ট পড়তে আইব,ami jani eihane onek cheri comment porte aibo,Mymensingh,I know many girls will come here to read the comments
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,majhe majhe mone hoy ghorbari sob moshar name likhe diye ami jungle e chole jai,মাঝে মাঝে লাগে ঘরবাড়ী বেক মশার নামে লেইখখা দিয়া আমি জংগলে চইল্লা যাইগা,majhe majhe lage ghorbari bek moshar name leikkha diya ami jongogle choilla jaiga,Mymensingh,Sometimes it seems that I write the name of all the mosquitoes in the house and go to the forest
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","tomar hoye achi ami, tomar hoye thakbo","তোমার হয়া আসি আমি, তোমার হয়াই থাকবাম","tomar hoya asi ami, tomar hoyai thakbam",Mymensingh,"I am for you, I will be for you"
সারা জীবন তোমায় আমি ভালবেসে যাবো,sara jibon tomay ami valobeshe jabo,সারাজীবন তোমায় আমি ভালোবাইসা যামু,sarajibon tomay ami valobaisa jamu,Mymensingh,I will love you all my life
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","pashe theko sara jibon ,dure jeyo na","পাশে থাইক্কো সারাজীবন, দূরে যাইয়ো না","pashe thaikko sarajibon, dure jaiyo na",Mymensingh,"Stay next to me all my life, don't go away"
তোমায় ছাড়া একটুও আমার ভালো লাগে না,tomay chara ektuo amar valo lage na,তোমারে ছাড়া একটুও আমার ভালালাগেনা,tomare chara ektuo amar valalagena,Mymensingh,I don't like anything without you
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","kauke abeger valobasa diona, moner valobasa dio ","কাউরে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও।","kaure abeger valobasa diona, moner valobasa dio",Mymensingh,"Don't give someone emotional love, give emotional love"
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,karon abeger valobasa ekdin bibeker kache here jabe,কারন আবেগের ভালোবাসা একদিন বিবেকের কাসে হাইরা যাইব,karon abeger valobasa ekdin bibeker kase haira jaibo,Mymensingh,Because emotional love will one day lose to conscience
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,ki kore bujhabo tare ami kotota valobashi?,কিতা কইরা বুঝামু তারে আমি কতডা ভালোবাসি?,kita koira bujhamu tare ami kotoda valobasi?,Mymensingh,How to explain how much I love him?
অনেক দিন পর তোমাকে দেখলাম,onek din por tomake dekhlam,অনেকদিন বাদে তোমারে দেখলাম,onekdin bade tomare dekhlam,Mymensingh,I saw you after a long time
তোমাকে দেখে থমকে দারিয়ে ছিলাম,tomake dekhe thomke dariye chilam,তোমারে দেইখখা তাক লাইজ্ঞা খারায়া আসিলাম,tomare deikhkha tak laigga kharaya asilam,Mymensingh,I stopped to see you
আমি খুব কষ্টে নিজেকে সামলে নিলাম,ami khub koshte nijeke shamle nilam,আমি মেলা কষ্টে নিজেরে সামলায়া নিলাম,ami mela koshte nijere samlaya nilam,Mymensingh,I held myself together with difficulty
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,jokhon tumi amake dekhe na dekhar van korle tokhon amar darun legeche,যখন তুমি আমারে দেইখখা না দেহার ভান করসো তহন আমার দারুন লাগসে,jokhon tumi amare deikhkha na dehar van korso tohon amar darun lagse,Mymensingh,I love it when you pretend not to see me
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,tomake sei onuvutir kotha bole bujhate parbo na,তোমারে আমি সেই অনুভুতির কথা কিয়া বুঝাইতে পারতাম না,tomare ami sei onuvutir kotha kiya bujhaite partam na,Mymensingh,I can't explain the feeling to you
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,tomake khub mone porche dibo tomay lal golap,তোমাকে মেলা মনে পরতাসে দিমু তোমারে লাল গোলাপ,tomake mela mone portase dimu tomare lal golap,Mymensingh,"I miss you so much, I will give you red roses"
আমার জীবনে কেউ নেই তুমি ছাড়া,amar jibone keu nei tumi chara,আমার জীবনে কেউ নাই তুমি ছাড়া,amar jibone keu nai tumi chara,Mymensingh,There is no one in my life except you
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,amar jibone kono sopno nei tumi chara,আমার জীবনে কোন স্বপ্ন নাই তুমি ছাড়া,amar jibone kono shopno nai tumi chara,Mymensingh,I have no dreams in my life without you
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,amar duchokh kichu khojena tomay chara,আমার দুই চোখ কিসু খুজেনা তোমারে ছাড়া,amar dui chokh kisu khujena tomare chara,Mymensingh,My eyes are looking for nothing but you
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,jokhon meye bujhe tokhon chele bujhena ,যখন ছেড়ি বুঝে তখন ছেড়াবুঝেনা !,jokhon cheri bujhe tokhon cherabujhena ,Mymensingh,"When girls understand, boys don't understand"
তুমি শুধু মনে রেখো আমায় সারা বেলা,tumi shudhu mone rekho amay shara bela,তুমি খালি মনে রাইখখো আমারে সারাবেলা,tumi khali mone raikhkho amare sarabela,Mymensingh,You just remember me all the time
চোখের কান্না মুছে  দেব তোমায় হাসি,chokher kanna muche debo tomay hashi,চোক্ষের কান্দনে মুইচ্ছা দিমু তোমার হাসি,chokkher kandone muiccha dimu tomar hasi,Mymensingh,I will wipe your tears with a smile
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,taito ami bondhu tomay eto valobashi,তাইতো আমি বন্ধু তোমারে এত ভালবাসি,taito ami bondhu tomare eto valobasi,Mymensingh,That's why I love you so much my friend
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","koto shundor tumi,preme porechi ami","কত্ত সুন্দর তুমি, প্রেমে পড়সি আমি","kotto sundor tumi, preme porsi ami",Mymensingh,"How beautiful you are, I'm in love"
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,chelera valobasar ovinoy korte korte je kokhon sotti sotti valobeshe fele tara ta nijeo janena,ছেড়ারা ভালোবাসার অভিনয় করতে করতে যে কহন সত্যি সত্যি ভালোবাইসা ফালায় তারা তা নিজেও কইতে ফারেনা,cherara valobasar ovinoy korte korte je kohon sotti sotti valobaisa falay tara ta nijeo koite farena,Mymensingh,Boys don't even know when they are really in love while pretending to be in love
