bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
এই জিনিষটা খুবই বিরক্তিকর ছিল,ei jinishta khubi biroktikor chilo,এই জিনিসসান কুব বিরক্তিকর আচিল,ei jinissan kub biroktikor achilo,Chittagong,This thing was very annoying
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,se sylhet theke amar sathe dekha korte esechilo,ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে,ite sylhettun ar foyare deha goirto aisse,Chittagong,He came to meet me from Sylhet
সে এখন রাজশাহী চলে গেছে,se ekhon rajshahi chole geche,ইতে এহন রাজশাহী গেইয়্যুই,ite ehon rajshahi geiyui,Chittagong,He has now gone to Rajshahi
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,se ekhon tar bondhuder sathe cigarette khay,ইতে এহন তার বন্দুওক্কলর ফোয়ারে সিগেট হায়,ite ehon tar bonduokkolor foyare siget hay,Chittagong,He now smokes cigarettes with his friends
সে একদমই হাসে না,se ekdomi hashe na,এতে এব্বেরেও ন আসে,ete ebbereo no ase,Chittagong,He doesn't smile at all
সে আমাকে অপমান করে,se amake opoman kore,এতে আঁরে অফমান গইরগে,ete are ofman goirge,Chittagong,He insults me
তাঁর বই পরতে একদমই ভাল লাগে না,tar boi porte ekdomi valo lage na,ইতাত্তুন বই ফইরতো এফফোডাও গম ন লাগে,itattun boi foirto effodao gom no lage,Chittagong,I don't like wearing his book at all
আপনার কি বই পড়ার অভ্যাস আছে ?,apnar ki boi porar ovvas ache ?,অনর কি বই ফরার অব্বাস আচে নে,onor ki boi forar obbas ahce ne,Chittagong,Do you have a habit of reading books?
তুমি কি আমাকে চিনো ?,tumi ki amake chino ?,তুঁই কি আঁরে চিনো নে,tui ki are cino ne,Chittagong,Do you know me
আমি তোমাকে চিনতে  পারলাম  না,ami tomake chinte parlam na,আঁই তোয়াঁরে চিনিত ন ফাইরলাম,ai toyare cinit no fairlam,Chittagong,I didn't recognize you
আমি তোমাকে আগে কখনো দেখি নাই,ami tomake age kokhono dekhi nai,আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি,ai toyare age hono otte no dehi,Chittagong,I've never seen you before
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,amar poralekha korte ekdomi valo lage na,আঁত্তুন ফরালেহা গইরতো এফফোডাও গম ন লাগে,attun foraleha goirto effodao gom no lage,Chittagong,I don't like to study at all
আপনার পড়ালেখা করা উচিত,apnar poralekha kora uchit,অনর ফরালেহা গরা উচিত,onor foraleha gora ucit,Chittagong,You should study
আপনাকে পড়ালেখা  করতে হবে,apnake poralekha korte hobe,অনোত্তুন ফরালেহা গরা ফরিবো,onottun foraleha gora foribo,Chittagong,You have to study
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,apnar ki poralekha korte ekdomi valo lage nah?,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,onor ki foraleha goirto ebbereo gom no lage,Chittagong,Do you not like to study at all?
তোর পড়ালেখা কোরতে হবে,tor poralekha korte hobe,তোত্তুন ফরালেহা গরা ফরিবো,toyttun foraleha gora foribo,Chittagong,You have to study
তুই কি আর পড়ালেখা করবি নাহ ?,tui ki ar poralekha korbi nah ?,তুই কি আর ফরালেহা ন গরিবি,tui ki ar foraleha no goribi,Chittagong,Will you study again?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,tui ki poralekha chere dite chas ?,তুই কি ফরালেহা চারি দিতো চস নিকি,tui ki foraleha cari dito cos niki,Chittagong,Do you want to quit studying?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,tor ki poralekha korte ekdomi valo lage nah ?,তোর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,tor ki foraleha goirto ebbereo gom no lage,Chittagong,Don't you like to study at all?
তুমি কি এখন খেতে বসবা  ?,tumi ki ekhon khete boshba ?,তুঁই কি এহন হাইতো বইবা নে,tui ki ehon haito boiba ne,Chittagong,Are you going to eat now?
আজকে আমার খেতে ভালো লাগছে না,ajke amar khete valo lagche na,আযিয়া আঁর হাইতো মনো ন হর,ajiya ar haito mono no hor,Chittagong,I don't feel like eating today
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,amar biddaloye onek bondhu ache,আঁর বিদ্যালয়ে বউত বন্দু আচে,ar bidyaloye bout bondu ache,Chittagong,I have many friends at school
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,amar choto bon biddaloye jete chay na,আঁর চোড বইন বিদ্যালয়অত যাইত ন চাই,ar codo boin biddaloyot jaito no cai,Chittagong,My younger sister doesn't want to go to school
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,amar biddaloye jete onek valo lage,আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে,attun biddaloyot jaito bout bala lage,Chittagong,I like going to school very much
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,se tar gramer ekti biddaloye poralekha kore,ইবা তার গেরামর এক্কান বিদ্যালয় অত ফরালেহা গরে,iba tar geramor ekkan biddaloy oto foraleha gore,Chittagong,He studies in a school in his village
সে বিদ্যালয়ে যেতে চায় না,se biddaloye jete chay na,ইবা বিদ্যালয়অত যাইত ন চায়,iba biddaloyot jait no cay,Chittagong,He doesn't want to go to school
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,tar biddaloye giye poralekha korte valo lage na,ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে,itattun biddaloy oto jai foraleha goirto gom no lage,Chittagong,He does not like to go to school and study
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,se biddaloye giye bondhuder sathe golpo kore,ইতে বিদ্যালয় অত যাই বন্দু অক্কলর ফোয়ারে গল্ফ গরে,ite biddaloy oto jai bondu okkolor foyare golfo gore,Chittagong,He goes to school and chats with his friends
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,se biddaloye mathe protidin cricket khele,ইতে বিদ্যালয় অর মাডঅত ফত্তিন ক্রিকেট কেলে,ite biddaloy or madot fottin cricket kele,Chittagong,He plays cricket everyday in the school ground
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,se biddaloye mathe matha ghuriye pore giyechilo,ইবা বিদ্যালয় অর মাডঅত মায়া গুরি ফরি গেইয়্যুই,iba biddaloy  or madot maya guri fori geiyui,Chittagong,He turned around in the school grounds
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,se onek din age tar biddaloyer ekti meyeke valobasto,ইতে বউত দিন আগে তার বিদ্যালয় অর ওজ্ঞা মাইফোয়ারে বালবাসিতো,ite bout din age tar biddaloy or ogga maifoyare balobasito,Chittagong,He loved a girl from his school a long time ago
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,cheleti tar gramer choto ekti biddaloy theke poralekha kore SSC pass koreche,ফোয়াইবা তার গেরামর গুরা এক্কান বিদ্যালয় অত্তুন ফরালেহা গরি এসএসসি ফাশ গইরগে,foyaiba tar geramor gura ekkan biddaloy ottun foraleha gori SSC fash goirge,Chittagong,The boy studied from a small school in his village and passed SSC
তোমাদের বাসা কোথায়?,tomader basa kothay?,তোঁয়ারার বাসা হডে,toyarar basa hode,Chittagong,Where is your home?
ঢাকা বাংলাদেশের রাজধানী,dhaka bangladesher rajdhani,ডাহা বাংলাদেশঅর রাযদানি,Daha bangladeshor rajdani,Chittagong,Dhaka is the capital of Bangladesh
তুমি কি আমার সাথে প্রেম করবা?,tumi ki amar sathe prem korba?,তুঁই কি আঁর ফোয়ারে ফেম গরিবা নে,tui ki ar foyare fem goriba ne,Chittagong,Will you make love with me?
আমি আজকে সকালে ফুটবল খেলেছি,ami ajke sokale football khelechi,আঁই আযিয়া বেইন্না ফুটবল কেলা হাইয়্যি,ai ajiya beinna football kela haiyi,Chittagong,I played football this morning
আমি তোমার মনের কথা বুঝি না,ami tomar moner kotha bujhi na,আঁই তোয়াঁর মন অর হতা বুজি,ai toyar mon or hota buji,Chittagong,I don't understand your mind
তোমার জন্য আমার খুব কষ্ট হয়,tomar jonno amar khub koshto hoy,তোঁয়ার লাই আঁর কুব হস্ট অই,toyar lai ar kub hosto oi,Chittagong,I feel so bad for you
আমাদের স্বপ্ন অনেক বড়,amader shopno onek boro,আঁরার সফ্ন বউত ডঅর,arar sofno bout dor,Chittagong,Our dreams are big
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,olpoboyoshi ekti chele baire footpath e douracche,আল্ফবয়স্যা ফোয়া অজ্ঞা বাইরে ফুটফাতত দুরের,alfoboyosya foya ogga baire footfatot durer,Chittagong,A young boy runs outside on the sidewalk
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ekti choto shishu bichanay lafiye uthche,ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের,ogga gura foya bicanata falmari uder,Chittagong,A small child is jumping on the bed
একটি ছেলে বিছানায় লাফাচ্ছে,ekti chele bichanai lafacche,ওজ্ঞা ফোয়া বিচানাত ফালার,ogga foya bicanat falar,Chittagong,A boy is jumping on the bed
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ekti chele ek bichana theke onno bichanay laf dicche,ওজ্ঞা ফোয়া এক বিচানাত্তুন আরেক বিচানাত ফাল মারে,ogga foya ek bicanattun arek bicanat fal mare,Chittagong,A boy is jumping from one bed to another
একটি ছোট শিশু ফুটপাতে হাঁটছে,ekti choto shishu footpathe hatche,ওজ্ঞা গুরা ফোয়া ফুটফাতোত আডের,ogga gura foya footfatot ader,Chittagong,A small child is walking on the sidewalk
আমি একজন ছেলে,ami ekjon chele,আঁই ওজ্ঞা ফোয়া,ai ogga foya,Chittagong,I am a boy
আমি একজন মেয়ে,ami ekjon meye,আঁই ওজ্ঞা মাইফোয়া,ai ogga maifoya,Chittagong,I am a girl
আমার স্বামী আমাকে খুব ভালোবাসে,amar sami amake khub valobashe,আঁর জামাই আঁরে কুব বালবাসে,ar jamai are ai kub balobase,Chittagong,My husband loves me very much
স্কুল জীবন থেকে তাদের প্রেম ছিলো,school jibon theke tader prem chilo,স্কুল যিবন অইতে তারার ফ্রেম আচিল,school jibon oite tarar frem acilo,Chittagong,They had been in love since their school days
আমি বিবাহ করেছি দশ বছর হয়,ami bibaho korechi dosh bochor hoy,আঁই বিয়া গইরগি দশ বচর অর,ai biya goirgi dosh bocor or,Chittagong,I have been married for ten years
অসম্ভব ভাল ছবি,osomvob valo chobi,"এব্বারে গম চবি 
",ebbare gom cobi ,Chittagong,Very good picture
বহুদিন পরে একটা ভাল ছবি দেখলাম,bohudin pore ekta valo chobi dekhlam,বউদ্দিন ফর এক্কান বালা চবি দেইলাম,bouddin for ekkan bala cobi deilam,Chittagong,I saw a good picture after a long time
অসম্ভব ভালো লিখেছেন,osomvob valo likhechen,বেশি গম লিকখো,besi gom likkho,Chittagong,Very well written
বহুদিন পরে একটা ভালো লেখা পড়লাম,bohudin pore ekta valo lekha porlam,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম,bouddin bade ekkan bala leha foirlam,Chittagong,I read a good article after a long time
প্রচণ্ড মাথা ব্যথা করছিলো,prochondo matha betha korchilo,মাতা হঁরাইলদি এএন ন,mata haraildi een no,Chittagong,Had a severe headache
কিছুই বুঝতে পারলাম না,kichui bujhte parlam na,কিচুই ন বুযিলাম,kicui no bujilam,Chittagong,I did not understand anything
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,tini eta dekhe gyaan hariye fellen,ইবা ইয়ান দেহি বিয়ুশ অই গেইয়্যুয়,iba iyan dehi biyush oi geiyuioy,Chittagong,He fainted at this
এক কথায় অনেক সুন্দর লাগছে আপনাকে,ek kothay onek shundor lagche apnake,এক হতায় বউত সুন্দর লাগের অনেরে,ek hotay bout sundor lager onere,Chittagong,"In one word, you look very beautiful"
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,apnar chobir ceye apni bastobe beshi shundor,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,onor cobirtun bera one bastobe beshi sundor,Chittagong,You are more beautiful in reality than in your picture
আপনার হাশির কাছে সব কিছু হার মেনে যায়,apnar hashir kache sob kichu har mene jay,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,onor ashir hace beggin ar mani jaigoi,Chittagong,Everything succumbs to your laughter
আপনার চোখ অনেক সুন্দর,apnar cokh onek shundor,অনর চোক বউত সুন্দর,onor chok bout sundor,Chittagong,Your eyes are very beautiful
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,apnar sathe poricito hoye valo laglo,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,onor lai foricoy oi bout bala laigge,Chittagong,Nice to meet you
অনেক সময় পর আপনাকে দেখছি,onek somoy por apnake dekhchi,বউত দিন ফর অন অরে দেহির,bout din for ono ore dehir,Chittagong,I see you after a long time
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,du vaiyer moddhe jayga jomi niye jhogra hoy,দু বাই অর মাযে জাগা জমি লই হইয্যা অই,du bai or maje jaga jomi loi hoijja oi,Chittagong,The two brothers quarreled over land
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,pore ek vai Kuwait cole jay arek vai sudan cole jay,ফরে এক বাই কয়েত গেইয়্যুই আরেক বাই সুদান গেইয়্যুই,fore ek bai koyet geiyui arek bai sudan geiyui ,Chittagong,Later one brother went to Kuwait and another brother went to Sudan
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,kichu din por sudan ferot lokti biye koren,হদ্দিন বাদে সুদান অত্তুন আইস্যেদে মানুষ ইবা বিয়া গইরগে,hoddin bade sudan ottun aissede manush iba biya goirge,Chittagong,"After a few days, the man returned to Sudan and got married"
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","mobile chara bathroom e gele, mone hoy joruri file chara office e bose achi",মুবাইল চারা বাতরুম অত যাইলে মনো অই যরুরি ফাইল চারা আফিস অত আইস্যি,mubile cara batroomot jaile mono oi joruri file chara officot aissi,Chittagong,"If I go to the bathroom without my mobile, I feel like I'm sitting in an office without an important file"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,jader gali deoya hoye geche tara doya kore line theke shore jan,যারারে গাইল দেয়া অই গেইয়্যুয় তারা দয়া গরি লাইন অত্তুন সরি যন,jarare gail deya oi geiyuiy tara doya gori line ottun sori jon,Chittagong,Those who have been abused please step out of line
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,pechone ekhono onek manush line e dariye ache,ফিচনে আইযো বিউত মানুষ লাইন অত তিয়ায় তাইক্কে,ficne aijo biut manush line ot tiyay taikke,Chittagong,There are still many people standing in line behind
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,taderke gali deoyar sujog kore din,তারারে গালি দিবর সুযোগ গরি দন,tarare gali dibor sujog gori don,Chittagong,Give them a chance to abuse
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,khub beshi kichu bolbo na karon abege chokhe pani chole asche,বর বেশি কিচু ন হইয়্যুম হারন আবেগে চোক অত ফানি আ গেইয়্যুয়,boro beshi kicu no hoiyum haron abege chok ot fani a geiyuiy,Chittagong,I won't say much because tears are coming from my eyes
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,tumi bolcho je thakar se emni theke jabe,তুঁই হদ্দে নে যে তাইবার ইতে এনেই তাকিবো,tui hodde ne je taibar ite enei takibo,Chittagong,You say that he will stay like that
প্রথমে আপনাকে একটি দোকানে যেতে হবে,prothome apnake ekti dokane jete hobe,ফাস্টে অনত্তুন এক্কান দোয়ান অত যা ফরিবো,faste onottun ekkan doyan ot ja foribo,Chittagong,First you need to go to a store
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,nijer pochonder biyete baba make raji korano holo,নিযর ফচন্দর বিয়াত বাপ মারে রায গরানো অয়্যে,nijor focondor biyat bap mare raj gorano oiye,Chittagong,The parents were persuaded in the marriage of their choice
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,meyeti lal shari pore dariye ache,মাইফোয়া ইবা লাল শারি ফিন্দি তিয়ায় তাইক্কে,maifoya iba lal shari findi tiyay taikke,Chittagong,The girl is standing in a red sari
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,bouyer jonno ar bondhuder majhe mukh dekhanor upay nai,বউওর লাই বলি বন্দুওক্কলর মাযে আর মুক দেহাইবর উফায় নাই,bouor lai boli bonduokkolor maje ar muk dehaibor ufay nai,Chittagong,There is no way for the wife to show her face to her friends
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,amake sobar samne marte marte bashay niye ase,আঁরে বেজ্ঞুনর সাম্মে মারি মারি বারিত লই আইস্যে,are beggunor samme mari mari barit loi aisse,Chittagong,He beat me in front of everyone and brought me home
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,ami jani ekhane onek meye comment porte ashbe,আঁই যানি এডে বউত মাইফোয়া কমেন্ট ফরিবার লাই আইবো,ai jani ede bout maifoya comment foribar lai aibo,Chittagong,I know many girls will come here to read the comments
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,majhe majhe mone hoy ghorbari sob moshar name likhe diye ami jungle e chole jai,মাযে মাযে মনো অই বারি গর বেজ্ঞিন মশার নামঅত লেহি দি যঁঅল অত যাইগই,maje maje mono oi bari gor beggin moshar namot lehi di jol oto jaigoi,Chittagong,Sometimes it seems that I write the name of all the mosquitoes in the house and go to the forest
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","tomar hoye achi ami, tomar hoye thakbo",তোঁয়ার অই আচি আঁই তোঁয়ার অই তাইক্কম,toyar oi achi ai toyar oi taikkom,Chittagong,"I am for you, I will be for you"
সারা জীবন তোমায় আমি ভালবেসে যাবো,sara jibon tomay ami valobeshe jabo,আযিবন তোঁয়ারে আঁই বালবাসি যাইয়্যুম,ajibon toyare ai balobasi jaiyum,Chittagong,I will love you all my life
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","pashe theko sara jibon ,dure jeyo na",ফাশে তাইক্কো সারাযিবন দুরে ন যাইয়্যু,fashe taikko sarajibon dure no jaiyu,Chittagong,"Stay next to me all my life, don't go away"
তোমায় ছাড়া একটুও আমার ভালো লাগে না,tomay chara ektuo amar valo lage na,তোঁয়ারে চারা আঁর এক্কানাও গম ন লাগে,toyare cara ar ekkanao gom no lage,Chittagong,I don't like anything without you
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","kauke abeger valobasa diona, moner valobasa dio ",হনিকারে আবেগের বালবাসা ন দিও মনোর বালবাসা দিও,honikare abeger balobasa no dio monor balobasa dio,Chittagong,"Don't give someone emotional love, give emotional love"
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,karon abeger valobasa ekdin bibeker kache here jabe,হারন আবেগর বালবাসা একদিন বিবেকর হাচে আরি যাইবই,haron abegor balobasa ekdin bibekor hace ari jaiboi,Chittagong,Because emotional love will one day lose to conscience
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,ki kore bujhabo tare ami kotota valobashi?,কেন গরি বুজাই তারে আঁই হত বালবাসি,ken gori bujai tare ai hoto balobasi,Chittagong,How to explain how much I love him?
অনেক দিন পর তোমাকে দেখলাম,onek din por tomake dekhlam,বউতদিন ফর তোঁয়ারে দেইলাম,boutdin for toyare deilam,Chittagong,I saw you after a long time
তোমাকে দেখে থমকে দারিয়ে ছিলাম,tomake dekhe thomke dariye chilam,তোঁয়ারে দেহি দর অই তিয়ায় আচিলাম,toyare dehi dor oi tiyay acilam,Chittagong,I stopped to see you
আমি খুব কষ্টে নিজেকে সামলে নিলাম,ami khub koshte nijeke shamle nilam,আঁই বড় হস্টে নিযেরে চঅঁলাই লইয়্যি,ai boro hoste nijere colai loiyi,Chittagong,I held myself together with difficulty
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,jokhon tumi amake dekhe na dekhar van korle tokhon amar darun legeche,যেত্তে তুঁই আঁরে দেহিয়েরেও না দেহার বান গইরগো এত্তে আত্তুন এন গম লাইজ্ঞে,jette tui are dehiyereo na dehar ban goirgo ette attun en gom laigge,Chittagong,I love it when you pretend not to see me
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,tomake sei onuvutir kotha bole bujhate parbo na,তোঁয়ারে অনুবুতি ইয়ান হইয়েরে বুজাইত ন ফাইরগম,toyare onubuti iyan hoiyere bujait no fairgom,Chittagong,I can't explain the feeling to you
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,tomake khub mone porche dibo tomay lal golap,"তোঁয়ারে কুব মনোত ফরের, দিয়্যুম তোঁয়ারে লাল গোলাপ","toyare kub monot forer, diyum toyare lal golap",Chittagong,"I miss you so much, I will give you red roses"
আমার জীবনে কেউ নেই তুমি ছাড়া,amar jibone keu nei tumi chara,আঁর জিবনত হনিক্কাই নাই তুঁই চারা,ar jibonot honikkai nai tui cara,Chittagong,There is no one in my life except you
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,amar jibone kono sopno nei tumi chara,আঁর জিবনত হনো সফ্ন নাই তুঁই চারা,ar jibonot hono sofno nai tui cara,Chittagong,I have no dreams in my life without you
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,amar duchokh kichu khojena tomay chara,আঁর দুচোক কিচু ন তুয়াই তোয়াঁরে চারা,ar duchok kicu no tuyai toyare cara,Chittagong,My eyes are looking for nothing but you
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,jokhon meye bujhe tokhon chele bujhena ,যেত্তে মাইয়্যা বুযে এত্তে ফোয়া ন বুযে,jette maiya buje ette foya no buje,Chittagong,"When girls understand, boys don't understand"
তুমি শুধু মনে রেখো আমায় সারা বেলা,tumi shudhu mone rekho amay shara bela,তুঁই শুদু মনে রাইক্কো আঁরে সারা বেলা,tui shudu mone raikko are sara bela,Chittagong,You just remember me all the time
চোখের কান্না মুছে  দেব তোমায় হাসি,chokher kanna muche debo tomay hashi,চোকর ফানি মুচি দিয়্যুম তোঁয়ারে আসি,chokor fani muci diyum toyare asi,Chittagong,I will wipe your tears with a smile
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,taito ami bondhu tomay eto valobashi,এতেল্লাই ত বন্দু তোঁয়ারে এত বালবাসি,etellai tho bondu toyare eto balobasi,Chittagong,That's why I love you so much my friend
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","koto shundor tumi,preme porechi ami","হত সুন্দর তুঁই, ফ্রেম অত ফইরগি আঁই","hoto sundor tui, frem oto foirgi ai",Chittagong,"How beautiful you are, I'm in love"
