bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,se onek din age tar biddaloyer ekti meyeke valobasto,হে বাক্কা আগে তার ইস্কুলর একটা ফুড়িরে ভালা পাইতো,he bakka age tar schoolor ekta furire vala paito,Sylhet,He loved a girl from his school a long time ago
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,cheleti tar gramer choto ekti biddaloy theke poralekha kore SSC pass koreche,ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে,fuyaatay tar gaur chuto ekhta school thaki poriya ssc pass khorche,Sylhet,The boy studied from a small school in his village and passed SSC
তোমাদের বাসা কোথায়?,tomader basa kothay?,তুমার বাসা খই?,tumar basa khoi?,Sylhet,Where is your home?
ঢাকা বাংলাদেশের রাজধানী,dhaka bangladesher rajdhani,ঢাকা বাংলাদেশর রাজধানী,dhaka bangladeshor rajdhani,Sylhet,Dhaka is the capital of Bangladesh
তুমি কি আমার সাথে প্রেম করবা?,tumi ki amar sathe prem korba?,তুমি কিতা আমার লগে পিরিত করবায় নি?,tumi kita amar loge prem korbay ni?,Sylhet,Will you make love with me?
আমি আজকে সকালে ফুটবল খেলেছি,ami ajke sokale football khelechi,মুই আইজ বিয়ানে ফুটবল খেলাইছি,mui aij biyane football khelaichi,Sylhet,I played football this morning
আমি তোমার মনের কথা বুঝি না,ami tomar moner kotha bujhi na,মুই তুমার মনর খতা বুজি না ,mui tumar monor khota buji na,Sylhet,I don't understand your mind
তোমার জন্য আমার খুব কষ্ট হয়,tomar jonno amar khub koshto hoy,তুমার লাগি আমার খুব খষ্ট অয়,tumar lagi amar khub khoshto oy,Sylhet,I feel so bad for you
আমাদের স্বপ্ন অনেক বড়,amader shopno onek boro,আমরার সফনো বহুত বড়,amrar sofno bohut boro,Sylhet,Our dreams are big
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,olpoboyoshi ekti chele baire footpath e douracche,অল্প বয়সর এখটা ফুয়া বারে ফুটপাতো দৌড়ার,olpo boyosor ekhta fuya bare futpato dourar,Sylhet,A young boy runs outside on the sidewalk
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ekti choto shishu bichanay lafiye uthche,এখটা ছুটো মনা বিছনাত লাফাইয়া উটের,ekhta chuto mona bichnat lafaiya uter,Sylhet,A small child is jumping on the bed
একটি ছেলে বিছানায় লাফাচ্ছে,ekti chele bichanai lafacche,এখটা ফুয়া বিছনাত ফালার,ekhta fuya bichnat falar,Sylhet,A boy is jumping on the bed
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ekti chele ek bichana theke onno bichanay laf dicche,এখটা ফুুয়া এক বিছনা থাকি আরোখ বিছনাত ফাল দের,ekhta fuuya ek bichna thaki arokh bichnat fal der,Sylhet,A boy is jumping from one bed to another
একটি ছোট শিশু ফুটপাতে হাঁটছে,ekti choto shishu footpathe hatche,এখটা হুরু মনা ফুটপাতো আটের,ekhta huru mona futpato ater,Sylhet,A small child is walking on the sidewalk
আমি একজন ছেলে,ami ekjon chele,মুই এখটা ফুয়া,mui ekhta fuya,Sylhet,I am a boy
আমি একজন মেয়ে,ami ekjon meye,মুই এখটা ফুড়ি,mui ekhta furi,Sylhet,I am a girl
আমার স্বামী আমাকে খুব ভালোবাসে,amar sami amake khub valobashe,আমার জামাই আমারে খুব ভালা পায়,amar jamai amare khub vala pay,Sylhet,My husband loves me very much
স্কুল জীবন থেকে তাদের প্রেম ছিলো,school jibon theke tader prem chilo,ইস্কুল জীবন থাকি তারার পিরিত আছিল,school jibon thaki tarar pirit achilo,Sylhet,They had been in love since their school days
আমি বিবাহ করেছি দশ বছর হয়,ami bibaho korechi dosh bochor hoy,আমার বিয়ার দশ বছর অর,amar biyar dosh bochor or,Sylhet,I have been married for ten years
অসম্ভব ভাল ছবি,osomvob valo chobi,বহুত ভালা ছবি,bhut vala chobi,Sylhet,Very good picture
বহুদিন পরে একটা ভাল ছবি দেখলাম,bohudin pore ekta valo chobi dekhlam, বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম,bakkadin bade ekhta vala chobi dekhlam,Sylhet,I saw a good picture after a long time
অসম্ভব ভালো লিখেছেন,osomvob valo likhechen,বহুুত ভালা লেখছইন,bhuut vala lekhchoin,Sylhet,Very well written
বহুদিন পরে একটা ভালো লেখা পড়লাম,bohudin pore ekta valo lekha porlam,বাক্কাদিন বাদে এখটা ভালা লেখা পড়লাম,bakkadin bade ekhta vala lekha porlam,Sylhet,I read a good article after a long time
প্রচণ্ড মাথা ব্যথা করছিলো,prochondo matha betha korchilo,যে মাথাত বেদনা ধরছিল,je mathat bedna dhorchil,Sylhet,Had a severe headache
কিছুই বুঝতে পারলাম না,kichui bujhte parlam na,কুনতা বুঝতাম ফারলাম না,kunta bujhtam farlam na,Sylhet,I did not understand anything
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,tini eta dekhe gyaan hariye fellen,তাইন অখটা দেখিয়া গিয়ান আরাই লাইছইন,tain okhta dekhiya giyan arai laichoin,Sylhet,He fainted at this
এক কথায় অনেক সুন্দর লাগছে আপনাকে,ek kothay onek shundor lagche apnake,এক খতায় আফনারে বাক্কা সুন্দর লাগের,ek khotay afnare bakka sundor lager,Sylhet,"In one word, you look very beautiful"
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,apnar chobir ceye apni bastobe beshi shundor,আফনার ছবি থাকি আফনে বাস্তবে অনেখ বেশি সুন্দর,afnar chobi thaki afne bastobe onekh beshi sundor,Sylhet,You are more beautiful in reality than in your picture
আপনার হাশির কাছে সব কিছু হার মেনে যায়,apnar hashir kache sob kichu har mene jay,আফনার হাসির কাছে সব কিছু হার মানি যায়,afnar hasir kache sob kichu har mani jay,Sylhet,Everything succumbs to your laughter
আপনার চোখ অনেক সুন্দর,apnar cokh onek shundor,আফনার চউক অনেখ সুন্দর,afnar chouk onekh sundor,Sylhet,Your eyes are very beautiful
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,apnar sathe poricito hoye valo laglo,আফনার লগেে পরিচিত অইয়া ভালা লাগলো,afnar logee porichito oiya vala laglo,Sylhet,Nice to meet you
অনেক সময় পর আপনাকে দেখছি,onek somoy por apnake dekhchi,বাক্কা সময় পর আফনারে দেখলাম,bakka somoy por afnare dekhlam,Sylhet,I see you after a long time
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,du vaiyer moddhe jayga jomi niye jhogra hoy,দুই ভাইর মাঝে জাগা জমিন লইয়া মাইর অয়,dui vair majhe jaga jomin liya mair oy,Sylhet,The two brothers quarreled over land
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,pore ek vai Kuwait cole jay arek vai sudan cole jay,বাদে এক ভাই কুয়েত গেছেগি আর আরোখ ভাই সুদান গেছে গি,bade ek vai kuwait gechegi ar arokh vai sudan geche gi,Sylhet,Later one brother went to Kuwait and another brother went to Sudan
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,kichu din por sudan ferot lokti biye koren,কয়দিন পর সুদান থাকি আওয়া বেটায় বিয়া করইন,koydin por sudan thaki aoya betay biya korin,Sylhet,"After a few days, the man returned to Sudan and got married"
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","mobile chara bathroom e gele, mone hoy joruri file chara office e bose achi","মোবাইল ছাড়া বাথরুমে গেলেগি, মনে অয় দরখারি ফাইল ছাড়া অফিসো বই রইছি","mobile chara bathroome gelegi, mone oy dorkhari file chara offico boi roichi",Sylhet,"If I go to the bathroom without my mobile, I feel like I'm sitting in an office without an important file"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,jader gali deoya hoye geche tara doya kore line theke shore jan,যারার গালি দেওয়া অই গেছে তারা দয়া করি লাইন থাকি হরি যাইন,jarar gali deoya oi geche tara doya kori line thaki hori jain,Sylhet,Those who have been abused please step out of line
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,pechone ekhono onek manush line e dariye ache,পিছেদি এখনো বাক্কা মানুষ লাইনো উবানিত,pichedi ekhono bakka manush line o ubanit,Sylhet,There are still many people standing in line behind
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,taderke gali deoyar sujog kore din,তারারে গালি দেওয়ার সুযোগ খরি দেইন,tarare gali deoyar sujog khori dein,Sylhet,Give them a chance to abuse
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,khub beshi kichu bolbo na karon abege chokhe pani chole asche,বেশি কুনতা খইতাম নায় কারণ আবেগে চকুত পানি আইচ্চে,beshi kunta khoitam nay karon abege chokut pani aicce,Sylhet,I won't say much because tears are coming from my eyes
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,tumi bolcho je thakar se emni theke jabe,তুমি কইরায় যে থাকার হে এমনেউ থাকি যাইবো,tumi koiray je thakar he emneu thaki jaibo,Sylhet,You say that he will stay like that
প্রথমে আপনাকে একটি দোকানে যেতে হবে,prothome apnake ekti dokane jete hobe, পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,poyla afnare ekhta dukano jaoya lagbo,Sylhet,First you need to go to a store
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,nijer pochonder biyete baba make raji korano holo,নিজর পছন্দর বিয়াত বাফ মারে রাজি করানি অইলো,nijor pochondor biyat baf mare raji korani oilo,Sylhet,The parents were persuaded in the marriage of their choice
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,meyeti lal shari pore dariye ache, ফুড়িটায় লাল শাড়ি পিন্দিয়া উবানিত,furitay lal shari pindiya ubanit,Sylhet,The girl is standing in a red sari
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,bouyer jonno ar bondhuder majhe mukh dekhanor upay nai,বউর লাগি বন্ধুরার সামনে মুখ দেখানির আর উপায় নাই,bur lagi bondhurar samne mukh dekhanir ar upay nai,Sylhet,There is no way for the wife to show her face to her friends
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,amake sobar samne marte marte bashay niye ase,আমারে সবর সামনে মারতে মারতে বাসাত লইয়া আয়।,amare sobor samne marte marte basat loiya ay.,Sylhet,He beat me in front of everyone and brought me home
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,ami jani ekhane onek meye comment porte ashbe,মুই জানি ইকানো অনেক ফুড়িন কমেন্ট ফরার লাগি আইবা,mui jani ikano onek furin comment forar lagi aiba,Sylhet,I know many girls will come here to read the comments
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,majhe majhe mone hoy ghorbari sob moshar name likhe diye ami jungle e chole jai,মাঝে মাঝে মনে অয় ঘরবাড়ি সব মশার নামে লেকিয়া দিয়া মুই জঙ্গলো যাই গিয়া,majhe majhe mone oy ghorbari sob moshar name lekiya diya mui jonggolo jai giya,Sylhet,Sometimes it seems that I write the name of all the mosquitoes in the house and go to the forest
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","tomar hoye achi ami, tomar hoye thakbo","মুই তুমার অইয়া আছি, তুমার অইয়া থাকমু","mui tumar oiya achi, tumar oiya thakmu",Sylhet,"I am for you, I will be for you"
সারা জীবন তোমায় আমি ভালবেসে যাবো,sara jibon tomay ami valobeshe jabo,সারাজীবন তুমারে মুই ভালোবাসিয়া যাইমু,sarajibon tumare mui valobasiya jaimu,Sylhet,I will love you all my life
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","pashe theko sara jibon ,dure jeyo na","লগে থাকিও সাড়া জীবন, দূরই যাইয়ো না","loge thakio sara jibon, duri jaiyo na",Sylhet,"Stay next to me all my life, don't go away"
তোমায় ছাড়া একটুও আমার ভালো লাগে না,tomay chara ektuo amar valo lage na,তুমারে ছাড়া আমার একটুও ভালা লাগে না,tumare chara amar ektuo vala lage na,Sylhet,I don't like anything without you
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","kauke abeger valobasa diona, moner valobasa dio ","খেউরে আবেগর ভালোবাসা দিও না, মনর ভালোবাসা দিও","kheure abegor valobasa dio na, monor valobasa dio",Sylhet,"Don't give someone emotional love, give emotional love"
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,karon abeger valobasa ekdin bibeker kache here jabe,কারন আবেগর ভালোবাসা একদিন বিবেকর কাছে হারি যাইবো,karon abegor valobasa ekdin bibekor kache hari jaibo,Sylhet,Because emotional love will one day lose to conscience
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,ki kore bujhabo tare ami kotota valobashi?,কিলা বুঝাইতাম তারে মুই কতখান ভালাপাই?,kila bujhaitam tare mui kotkhan valapai?,Sylhet,How to explain how much I love him?
অনেক দিন পর তোমাকে দেখলাম,onek din por tomake dekhlam,বাক্কাদিন বাদে তুমারে দেখলাম,bakkadin bade tumare dekhlam,Sylhet,I saw you after a long time
তোমাকে দেখে থমকে দারিয়ে ছিলাম,tomake dekhe thomke dariye chilam,তুমারে দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম,tumare dekiya vemtala lagiya ubai roichlam,Sylhet,I stopped to see you
আমি খুব কষ্টে নিজেকে সামলে নিলাম,ami khub koshte nijeke shamle nilam,মুই অনেক কষ্টে নিজোরে সামলাইয়া নিছলাম,mui onek koshte nijore samlaiya nichlam,Sylhet,I held myself together with difficulty
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,jokhon tumi amake dekhe na dekhar van korle tokhon amar darun legeche,যেবলা তুমি আমারে দেকিয়াও না দেখার ভান করলায় হেবলা আমার বেশ লাগছে,jebla tumi amare dekiyao na dekhar van korlay hebla amar besh lagche,Sylhet,I love it when you pretend not to see me
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,tomake sei onuvutir kotha bole bujhate parbo na,তুমারে হউ অনুভুতির মাত কওয়া বুঝাত ফারতাম নায় ,tomare hou onuvutir mat kowya bujhat fartam nay ,Sylhet,I can't explain the feeling to you
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,tomake khub mone porche dibo tomay lal golap,"তুমারে খুব মনো পড়ের, তুমারে লাল গোলাপ দিতাম","tumare khub mono porer, tumare lal golap ditam",Sylhet,"I miss you so much, I will give you red roses"
আমার জীবনে কেউ নেই তুমি ছাড়া,amar jibone keu nei tumi chara,আমার জীবনো তুমি ছাড়া খেউ নাই,amar jibono tumi chara kheu nai,Sylhet,There is no one in my life except you
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,amar jibone kono sopno nei tumi chara, আমার জীবনো তুমি ছাড়া কোনো স্বপ্ন নাই,amar jibono tumi chara kono sopno nai,Sylhet,I have no dreams in my life without you
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,amar duchokh kichu khojena tomay chara,আমাার দুই চউক তুমারে ছাড়া আর কিচ্ছু খুঁজে না,amar dui chouk tumare chara ar kicchu khuje na,Sylhet,My eyes are looking for nothing but you
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,jokhon meye bujhe tokhon chele bujhena ,যেব্‌লাকু ফুড়ি বুঝে হেব্‌লাকু ফুয়ায় বুঝে না,jeb‌laku furi bujhe heb‌laku fuyay bujhe na,Sylhet,"When girls understand, boys don't understand"
তুমি শুধু মনে রেখো আমায় সারা বেলা,tumi shudhu mone rekho amay shara bela,তুমি খালি মোরে মনো রাকিও সারা বেলা,tumi khali more mono rakio sara bela,Sylhet,You just remember me all the time
চোখের কান্না মুছে  দেব তোমায় হাসি,chokher kanna muche debo tomay hashi,চকুর কান্দা মুছাইয়া দিমু তুমারে হাসি ,cokur kanda muchaiya dimu tumare hasi,Sylhet,I will wipe your tears with a smile
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,taito ami bondhu tomay eto valobashi,এরলাগি তো বন্দু তোমারে মুই অতো ভালাপাই,erlagi to bondu tomare mui oto valapai,Sylhet,That's why I love you so much my friend
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","koto shundor tumi,preme porechi ami","খত সুন্দর তুমি, পেরেমো পরছি মুই","khoto sundor tumi, peremo porchi mui",Sylhet,"How beautiful you are, I'm in love"
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,chelera valobasar ovinoy korte korte je kokhon sotti sotti valobeshe fele tara ta nijeo janena,ফুয়াইন্তে পিরিতর অভিনয় খরতে খরতে কুন সময় হাছা হাছা ভালা পাইলায় ইতা তারা নিজেও জানে না,fuyainte piritor ovinoy khorte khorte kun somoy hacha hacha vala pailay ita tara nijeo jane na,Sylhet,Boys don't even know when they are really in love while pretending to be in love
