bangla_speech ,banglish_speech ,barishal_bangla_speech ,barishal_banglish_speech ,region_name ,english_speech
সে এখন রাজশাহী চলে গেছে,se ekhon rajshahi chole geche,হে আহন রাজ্শাহি গেসিগ্গা,he ahon rajshahi gesigga,Barishal ,He has now gone to Rajshahi
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,se ekhon tar bondhuder sathe cigarette khay,উনি আহন হেয়ার দস্গ গ লগে বিরি খায়,uni ahon heyar dosgo go loge biri khay,Barishal ,He now smokes cigarettes with his friends
সে একদমই হাসে না,se ekdomi hashe na,হে আক্কালেই ভেত্কায় না,he akkalei vetkay na,Barishal ,He doesn't smile at all
সে আমাকে অপমান করে,se amake opoman kore,হে মরে আক্সের অপমান হিরে,he more akser opoman hire,Barishal ,He insults me
তাঁর বই পরতে একদমই ভাল লাগে না,tar boi porte ekdomi valo lage na,হ্যার বই পড়তে এক্কালেই ভালো লাগে না,her boi porte ekkalei valo lage na,Barishal ,I don't like wearing his book at all
আপনার কি বই পড়ার অভ্যাস আছে ?,apnar ki boi porar ovvas ache ?,আমনের কি বই পড়ার অভ্যাস আছে?,amner ki boi porar ovvas ache?,Barishal ,Do you have a habit of reading books?
তুমি কি আমাকে চিনো ?,tumi ki amake chino ?,তুমি কি মোরে চেনো?,tumi ki more cheno?,Barishal ,Do you know me
আমি তোমাকে চিনতে  পারলাম  না,ami tomake chinte parlam na,মুই তোমারে চেনতে পারলাম না,mui tomare chente parlam na,Barishal ,I didn't recognize you
আমি তোমাকে আগে কখনো দেখি নাই,ami tomake age kokhono dekhi nai,মুই তোমারে আগে কহনো দেহি নাই,mui tomare age kohono dehi nai,Barishal ,I've never seen you before
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,amar poralekha korte ekdomi valo lage na,মোর পড়াল্যাহা করতে এক্কালেই ভালো লাগে না,mor poraleha korte ekkalei valo lage na,Barishal ,I don't like to study at all
আপনার পড়ালেখা করা উচিত,apnar poralekha kora uchit,আমনের পড়াল্যাহা করা দরকার,amner poraleha kora dorkar,Barishal ,You should study
আপনাকে পড়ালেখা  করতে হবে,apnake poralekha korte hobe,আমনের পড়াল্যাহা করতে হইবে,amner poraleha korte hoibe,Barishal ,You have to study
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,apnar ki poralekha korte ekdomi valo lage nah?,আমনের কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,amner ki poraleha korte ekkalei valo lage na?,Barishal ,Do you not like to study at all?
তোর পড়ালেখা কোরতে হবে,tor poralekha korte hobe,তোর পড়াল্যাহা করতে হইবে,tor poraleha korte hoibe,Barishal ,You have to study
তুই কি আর পড়ালেখা করবি নাহ ?,tui ki ar poralekha korbi nah ?,তুই কি আর পড়াল্যাহা করবি না?,tui ki ar poraleha korbi na?,Barishal ,Will you study again?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,tui ki poralekha chere dite chas ?,তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?,tui ki poraleha chaira dete chao?,Barishal ,Do you want to quit studying?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,tor ki poralekha korte ekdomi valo lage nah ?,তোর কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,tor ki poraleha korte ekkalei valo lage na?,Barishal ,Don't you like to study at all?
তুমি কি এখন খেতে বসবা  ?,tumi ki ekhon khete boshba ?,তুমি কি এহন খাইতে ববা?,tumi ki ehon khaite boba?,Barishal ,Are you going to eat now?
আজকে আমার খেতে ভালো লাগছে না,ajke amar khete valo lagche na,আইজগো মোর খাইতে ভালো লাগতেয়াছে না,aijgo mor khaite valo lagteyache na,Barishal ,I don't feel like eating today
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,amar biddaloye onek bondhu ache,মোর ইসকুলে ম্যালা দোস্তো আছে,mor school e mela dosto ache,Barishal ,I have many friends at school
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,amar choto bon biddaloye jete chay na,মোর ছোডো বুইন ইসকুলে যাইতে চায় না,mor chodo buin iskule jaite chay na,Barishal ,My younger sister doesn't want to go to school
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,amar biddaloye jete onek valo lage,মোর ইসকুলে যাইতে বেমালা ভালো লাগে,mor school e jaite bemala valo lage,Barishal ,I like going to school very much
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,se tar gramer ekti biddaloye poralekha kore,হ্যায় হ্যার গেরামের এউক্কা ইসকুলে পড়াল্যাহা করে,hey her geramer eukka school e poraleha kore,Barishal ,He studies in a school in his village
সে বিদ্যালয়ে যেতে চায় না,se biddaloye jete chay na,হ্যায় ইসকুলে যাইতে চায় না,hyai school e jaite chay na,Barishal ,He doesn't want to go to school
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,tar biddaloye giye poralekha korte valo lage na,হ্যার ইসকুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,her school e jaiya poraleha korte valo lage na,Barishal ,He does not like to go to school and study
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,se biddaloye giye bondhuder sathe golpo kore,হ্যায় ইসকুলে যাইয়া দোস্তোগো লগে কেচ্ছা করে,hey school e jaiya dostogo loge keccha kore,Barishal ,He goes to school and chats with his friends
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,se biddaloye mathe protidin cricket khele,হ্যায় ইস্কুলের মাডে পেরতেকদিন ক্রিকেট খেলে,hey school er made pertekdin cricket khele,Barishal ,He plays cricket everyday in the school ground
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,se biddaloye mathe matha ghuriye pore giyechilo,হ্যায় ইশকুলের মাডে মাথা ঘুরাইয়া পইড়া গ্যাল্লেহ,hey school made matha ghuraia poira gelleh,Barishal ,He turned around in the school grounds
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,se onek din age tar biddaloyer ekti meyeke valobasto,হ্যায় ম্যালা দিন আগে হ্যার ইশকুলের এউক্কা মাইয়ারে ভালোবাসতো,hey mela din age her school er eukka maiyare valobashto,Barishal ,He loved a girl from his school a long time ago
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,cheleti tar gramer choto ekti biddaloy theke poralekha kore SSC pass koreche,পোলাডা হ্যার গেরামের ছোডো এউক্কা ইসকুল হইতে পড়াল্যাহা কইররা মেটটিক পাশ করছে,polada her geramer chodo eukka school hoite poraleha koirra mettik pash korche,Barishal ,The boy studied from a small school in his village and passed SSC
তোমাদের বাসা কোথায়?,tomader basa kothay?,তোমাগো বাড়ি কোম্মে?,tomago bari komme?,Barishal ,Where is your home?
ঢাকা বাংলাদেশের রাজধানী,dhaka bangladesher rajdhani,ঢাহা বাংলাদেশের রাজধানী,dhaha bangladesher rajdhani,Barishal ,Dhaka is the capital of Bangladesh
তুমি কি আমার সাথে প্রেম করবা?,tumi ki amar sathe prem korba?,তুমি কি মোর লগে পেরেম করবা?,tumi ki mor loge perem korba?,Barishal ,Will you make love with me?
আমি আজকে সকালে ফুটবল খেলেছি,ami ajke sokale football khelechi,মুই আইজগো বেইননা কালে ফুটবল খেলছি,mui aijgo beinna kale football khelchi,Barishal ,I played football this morning
আমি তোমার মনের কথা বুঝি না,ami tomar moner kotha bujhi na,মুই তোমার মনের কথা বোঝতে পারি না,mui tomar moner kotha bojhte pari na,Barishal ,I don't understand your mind
তোমার জন্য আমার খুব কষ্ট হয়,tomar jonno amar khub koshto hoy,তোমার লইজ্ঞা মোর বেমালা কষ্ট হয়,tomar loigga mor bemala koshto hoy,Barishal ,I feel so bad for you
আমাদের স্বপ্ন অনেক বড়,amader shopno onek boro,মোগো হপোন ম্যালা বড়,mogo hopon mela boro,Barishal ,Our dreams are big
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,olpoboyoshi ekti chele baire footpath e douracche,‍কমবয়সী এউক্কা পোলা বায়রায় ফুডপাতে দৌড়াইতেয়াছে,‍komboyoshi eukka pola bayray footpath e douraiteyache,Barishal ,A young boy runs outside on the sidewalk
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ekti choto shishu bichanay lafiye uthche,এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে,eukka leda gedu bichnay lafaiya othche,Barishal ,A small child is jumping on the bed
একটি ছেলে বিছানায় লাফাচ্ছে,ekti chele bichanai lafacche,এউক্কা পোলা বিছনায় লাফাইতেয়াছে,eukka pola bichnay lafaiteyache,Barishal ,A boy is jumping on the bed
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ekti chele ek bichana theke onno bichanay laf dicche,এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে,eukka pola eukka bichna gone ar eukka bichanay lap deteyache,Barishal ,A boy is jumping from one bed to another
একটি ছোট শিশু ফুটপাতে হাঁটছে,ekti choto shishu footpathe hatche,এউক্কা ছোডো গেদু ফুডপাতে হাটতেয়াছে,eukka chodo gedu footpath e hatteyache,Barishal ,A small child is walking on the sidewalk
আমি একজন ছেলে,ami ekjon chele,মুই এউক্কা পোলা,mui eukka pola,Barishal ,I am a boy
আমি একজন মেয়ে,ami ekjon meye,মুই এউক্কা মাইয়া,mui eukka maiya,Barishal ,I am a girl
আমার স্বামী আমাকে খুব ভালোবাসে,amar sami amake khub valobashe,মোর জামাই মোরে বেমালা ভালোবাসে,mor jamai more bemala valobashe,Barishal ,My husband loves me very much
স্কুল জীবন থেকে তাদের প্রেম ছিলো,school jibon theke tader prem chilo,ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ,school somoy hoite hego perem alleh,Barishal ,They had been in love since their school days
আমি বিবাহ করেছি দশ বছর হয়,ami bibaho korechi dosh bochor hoy,মুই বিয়া করছি ১০ বছর হইছে,mui biya korchi 10 bochor hoiche,Barishal ,I have been married for ten years
অসম্ভব ভাল ছবি,osomvob valo chobi,বেমালা ভালো ছবি,bemala valo chobi,Barishal ,Very good picture
বহুদিন পরে একটা ভাল ছবি দেখলাম,bohudin pore ekta valo chobi dekhlam,ম্যালাদিন পরে এউক্কা ভালো ছবি দেখলাম,meladin pore eukka valo chobi dekhlam,Barishal ,I saw a good picture after a long time
অসম্ভব ভালো লিখেছেন,osomvob valo likhechen,বেমালা ভালো ল্যাখছেন,bemala valo lekhchen,Barishal ,Very well written
বহুদিন পরে একটা ভালো লেখা পড়লাম,bohudin pore ekta valo lekha porlam,ম্যালাদিন পরে এউক্কা ভালো ল্যাহা পড়লাম,meladin pore eukka valo leha porlam,Barishal ,I read a good article after a long time
প্রচণ্ড মাথা ব্যথা করছিলো,prochondo matha betha korchilo,বেমালা মাথা ব্যাথা করতেয়াছেলে,bemala matha betha korteyachele,Barishal ,Had a severe headache
কিছুই বুঝতে পারলাম না,kichui bujhte parlam na,কিছুই বোঝতে পারলাম না,kichui bojhte parlam na,Barishal ,I did not understand anything
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,tini eta dekhe gyaan hariye fellen,হ্যায় এইডা দেইখ্যা গেয়ান হারাইয়া ফালাইছে,hey eida deikha geyan haraiya falaiche,Barishal ,He fainted at this
এক কথায় অনেক সুন্দর লাগছে আপনাকে,ek kothay onek shundor lagche apnake,এক কথায় ম্যালা সুন্দর লাগতেয়াছে আমনেরে,ek kothay mela shundor lagteyache amnere,Barishal ,"In one word, you look very beautiful"
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,apnar chobir ceye apni bastobe beshi shundor,আমনের ছবির চাইতে আমনে বাস্তবে বেমালা সুন্দর,amner chobir chaite amne bastobe bemala shundor,Barishal ,You are more beautiful in reality than in your picture
আপনার হাশির কাছে সব কিছু হার মেনে যায়,apnar hashir kache sob kichu har mene jay,আমনের হাসির সামনে বেবাক কিছু হার মাইন্না যায়,amner hasir shamne bebak kichu har mainna jay,Barishal ,Everything succumbs to your laughter
আপনার চোখ অনেক সুন্দর,apnar cokh onek shundor,আমনের চউখ বেমালা সুন্দর,amner chukh bemala shundor,Barishal ,Your eyes are very beautiful
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,apnar sathe poricito hoye valo laglo,আমনের লগে পরিচিত হইয়া ভালো লাগছে,amner loge porichito hoiya valo lagche,Barishal ,Nice to meet you
অনেক সময় পর আপনাকে দেখছি,onek somoy por apnake dekhchi,ম্যালাদিন পর আমনেরে দেখলাম,meladin por amnere dekhlam,Barishal ,I see you after a long time
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,du vaiyer moddhe jayga jomi niye jhogra hoy,দুই ভাইগো মইধ্যে জাগা জমি লইয়া কাইজ্জা হয়,dui vaigo moiddhe jaga jomi loiya kaijja hoy,Barishal ,The two brothers quarreled over land
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,pore ek vai Kuwait cole jay arek vai sudan cole jay,পরে এউক্কা ভাই কুয়েত চইল্যা যায় আর এউক্কা ভাই সুদান চইল্যা যায়,pore eukka vai kuwait choila jay ar eukka vai sudan choila jay,Barishal ,Later one brother went to Kuwait and another brother went to Sudan
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,kichu din por sudan ferot lokti biye koren,কয়দিন পরে সুদান দিয়া আসা ব্যাডা বিয়া করেন,koydin pore sudan diya asha beda biya koren,Barishal ,"After a few days, the man returned to Sudan and got married"
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","mobile chara bathroom e gele, mone hoy joruri file chara office e bose achi","মোবাইল থুইয়া বাথরুমে গ্যালে, মনে হয় জরুলি কাগজ থুইয়া অপিসে বইইয়া আছি","mobile thuiya bathroom e gele, mone hoy joruli kagoj thuiya office boiya achi",Barishal ,"If I go to the bathroom without my mobile, I feel like I'm sitting in an office without an important file"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,jader gali deoya hoye geche tara doya kore line theke shore jan,যাগো খামার দেওয়া হইছে হ্যারা দয়া কইরা লাইন দিয়া সৈররা যান,jago khamar deowa hoiche hera doya koira lain diya soirra jan,Barishal ,Those who have been abused please step out of line
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,pechone ekhono onek manush line e dariye ache,পাছে এহনও বেমালা মানু লাইনে খারাইয়া আছে,pache ehono bemala manu laine kharaiya ache,Barishal ,There are still many people standing in line behind
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,taderke gali deoyar sujog kore din,হ্যাগো খামার দেওয়ার সুযোগ কইরা দ্যান,hego khamar deowar sujog koira dyan,Barishal ,Give them a chance to abuse
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,khub beshi kichu bolbo na karon abege chokhe pani chole asche,বেমালা কিছু কমু না কারণ আবেগে চোখে পানি চইল্যা আইছে,bemala kichu komu na karon abege chokhe pani choila aiche,Barishal ,I won't say much because tears are coming from my eyes
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,tumi bolcho je thakar se emni theke jabe,তুমি কইছো যে থাহার হ্যায় এমনিতেই থাকবে,tumi koicho je thahar hey emnitei thakbe,Barishal ,You say that he will stay like that
প্রথমে আপনাকে একটি দোকানে যেতে হবে,prothome apnake ekti dokane jete hobe,পোরথমে আমনেরে এউক্কা দোকানে যাইতে হইবে,porthome amnere eukka dokane jaite hoibe,Barishal ,First you need to go to a store
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,nijer pochonder biyete baba make raji korano holo,নিজের পছন্দের বিয়ায় বাপ মায়রে রাজি করাইন্না হইছে,nijer pochonder biyay bap mayre raji korainna hoiche,Barishal ,The parents were persuaded in the marriage of their choice
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,meyeti lal shari pore dariye ache,মাইয়ডা লাল শাড়ি পইররা খারাইয়া আছে,maiyada lal shari poirra kharaiya ache,Barishal ,The girl is standing in a red sari
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,bouyer jonno ar bondhuder majhe mukh dekhanor upay nai,বউয়ের লইজ্ঞা আর দোস্তোগো মাঝে মুখ দ্যাহাইন্নার উপায় নাই,bouer loigga ar dostogo majhe mukh dehainnar upay nai,Barishal ,There is no way for the wife to show her face to her friends
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,amake sobar samne marte marte bashay niye ase,মোরে বেবাকের সামনে মারতে মারতে বাসায় লইয়া আহে,more bebaker samne marte marte basay loiya ahe,Barishal ,He beat me in front of everyone and brought me home
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,ami jani ekhane onek meye comment porte ashbe,মুই জানি এইহানে বেমালা মাইয়া কমেন্ট পড়তে আইবে,mui jani eihane bemala maiya comment porte aibe,Barishal ,I know many girls will come here to read the comments
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,majhe majhe mone hoy ghorbari sob moshar name likhe diye ami jungle e chole jai,মাঝে মইধ্যে মনে কয় বাসাবাড়ি সব মাশার নামে লেইখ্যা দিয়া মুই জঙ্গলে চইল্যা যাই,majhe moiddhe mone koy bashabari sob mashar name leikha diya mui junggle choila jai,Barishal ,Sometimes it seems that I write the name of all the mosquitoes in the house and go to the forest
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","tomar hoye achi ami, tomar hoye thakbo","তোমার হইয়া আছি মুই, তোমার হইয়াই থাকমু","tomar hoiya achi mui, tomar hoiyai thakmu",Barishal ,"I am for you, I will be for you"
সারা জীবন তোমায় আমি ভালবেসে যাবো,sara jibon tomay ami valobeshe jabo,সারা জীবন তোমারে মুই ভালোবাইসা যামু,sara jibon tomare mui valobaisha jamu,Barishal ,I will love you all my life
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","pashe theko sara jibon ,dure jeyo na","পাশে থাইকো সারা জীবন, দূরে যাইয়ো না","pashe thaiko sara jibon, dure jaiyo na",Barishal ,"Stay next to me all my life, don't go away"
তোমায় ছাড়া একটুও আমার ভালো লাগে না,tomay chara ektuo amar valo lage na,তোমারে ছাড়া এক্কালেই মোর ভালো লাগে না,tomare chara ekkalei mor valo lage na,Barishal ,I don't like anything without you
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","kauke abeger valobasa diona, moner valobasa dio ","কাউরে আবেগের ভালোবাসা দিও না, মনের ভালোবাসা দিও","kaure abeger valobasha dio na, moner valobasha dio",Barishal ,"Don't give someone emotional love, give emotional love"
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,karon abeger valobasa ekdin bibeker kache here jabe,কারন আবেগের ভালোবাসা এউক্কা দিনের বিবেকের ধারে ঠইজ্ঞা যাইবে,karon abeger valobasha eukka diner bibeker dhare thoigga jaibe,Barishal ,Because emotional love will one day lose to conscience
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,ki kore bujhabo tare ami kotota valobashi?,কি কইরা বুঝামু হ্যারে মুই কতডা ভালোবাসি?,ki koira bujhamu here mui kotoda valobashi?,Barishal ,How to explain how much I love him?
অনেক দিন পর তোমাকে দেখলাম,onek din por tomake dekhlam,ম্যালাদিন পর তোমারে দেখলাম,meladin por tomare dekhlam,Barishal ,I saw you after a long time
তোমাকে দেখে থমকে দারিয়ে ছিলাম,tomake dekhe thomke dariye chilam,তোমারে দেইখ্যা থমকে খারাইয়া আল্লাহম,tomare deikha thomke kharaiya allahom,Barishal ,I stopped to see you
আমি খুব কষ্টে নিজেকে সামলে নিলাম,ami khub koshte nijeke shamle nilam,মুই বেমালা কষ্টে মোরে সামলাইয়া নিছি,mui bemala koshte more samlaiya nichi,Barishal ,I held myself together with difficulty
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,jokhon tumi amake dekhe na dekhar van korle tokhon amar darun legeche,যহন তুমি মোরে দেইখ্যা না দেহার ভান করছো তহন মোর মজা লাগছে,johon tumi more deikha na dehar van korcho tohon mor moja lagche,Barishal ,I love it when you pretend not to see me
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,tomake sei onuvutir kotha bole bujhate parbo na,তোমারে হেই অনুভূতির কথা কইয়া বুঝাইতে পারমু না,tomare hei onuvutir kotha koiya bujhaite parmu na,Barishal ,I can't explain the feeling to you
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,tomake khub mone porche dibo tomay lal golap,তোমারে ম্যালা মনে পড়ছে দিমু তোমারে লাল গোলাপ,tomare mela mone porche dimu tomare lal golap,Barishal ,"I miss you so much, I will give you red roses"
আমার জীবনে কেউ নেই তুমি ছাড়া,amar jibone keu nei tumi chara,মোর জীবনে কেউ নাই তুমি ছাড়া,mor jibone keu nai tumi chara,Barishal ,There is no one in my life except you
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,amar jibone kono sopno nei tumi chara,মোর জীবনে কোনো স্বপ্ন নাই তুমি ছাড়া,mor jibone kono shopno nai tumi chara,Barishal ,I have no dreams in my life without you
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,amar duchokh kichu khojena tomay chara,মোর দুজ্ঞা চোউখ কিছু খোঁজেনা তোমারে ছাড়া,mor dugga choukh kichu khojena tomare chara,Barishal ,My eyes are looking for nothing but you
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,jokhon meye bujhe tokhon chele bujhena ,যহন মাইয়া বোঝে তহন পোলা বোঝে না,johon maiya bojhe tohon pola bojhe na,Barishal ,"When girls understand, boys don't understand"
তুমি শুধু মনে রেখো আমায় সারা বেলা,tumi shudhu mone rekho amay shara bela,তুমি খালি মনে রাইখো মোরে হগল সময়,tumi khali mone raikho more hogol somoy,Barishal ,You just remember me all the time
চোখের কান্না মুছে  দেব তোমায় হাসি,chokher kanna muche debo tomay hashi,চোখের পানি মুইচ্ছা দিমু তোমারে হাসি,chokher pani muiccha dimu tomare hashi,Barishal ,I will wipe your tears with a smile
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,taito ami bondhu tomay eto valobashi,হেইতে মুই দোস্তো তোমারে বেমালা ভালোবাসি,heite mui dosto tomare bemala valobashi,Barishal ,That's why I love you so much my friend
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","koto shundor tumi,preme porechi ami","বেমালা সুন্দর তুমি, পেরেমে পড়ছি মুই","bemala shundor tumi, pereme porchi mui",Barishal ,"How beautiful you are, I'm in love"
